ENERDATA,SBS,EF,IEA,flow,Navigate
NA,CH,OGS,COKEOVGS,CHEMICAL,
NA,CH,NUC,NA,,
NA,CH,STE,NA,,Final Energy|Industry|Chemicals|Heat
NA,CH,HYD,NA,,Final Energy|Industry|Chemicals|Hydrogen
NA,CH,WND,NA,,
NA,CH,SOL,NA,,Final Energy|Industry|Chemicals|Solar
Biomass final consumption of chemical industry.Mtoe,CH,BMSWAS,NA,CHEMICAL,Final Energy|Industry|Chemicals|Solids|Biomass
NA,CH,GEO,NA,,
NA,CH,MET,NA,,
NA,CH,ETH,NA,,
NA,CH,BGDO,BIODIESEL,CHEMICAL,Final Energy|Industry|Chemicals|Liquids|Biomass
NA,CH,H2F,NA,,
Electricity final consumption of chemical industry.Mtoe,CH,ELC,ELECTR,CHEMICAL,Final Energy|Industry|Chemicals|Electricity
NA,CH,PHEVGSL,NA,,
NA,CH,PHEVGDO,NA,,
NA,CH,CHEVGSL,NA,,
NA,CH,CHEVGDO,NA,,
NA,CH,SLD,NA,,Final Energy|Industry|Chemicals|Solids
NA,CH,GAS,NA,,Final Energy|Industry|Chemicals|Gases
NA,CH,LQD,NA,,
NA,CH,OLQT,NA,,
NA,CH,NFF,NA,,
NA,CH,NEF,NA,,
NA,CH,HEATPUMP,NA,,
NA,BM,REN,NA,,
Coal and lignite final consumption of non-metallic minerals.Mtoe,BM,HCL,BITCOAL,NONMET,Final Energy|Industry|Non-Metallic Minerals|Solids|Coal
NA,BM,LGN,LIGNITE,NONMET,
NA,BM,CRO,NA,,Final Energy|Industry|Non-Metallic Minerals|Liquids|Fossil
NA,BM,LPG,LPG,NONMET,
NA,BM,GSL,NONBIOGASO,NONMET,Final Energy|Industry|Non-Metallic Minerals|Liquids
NA,BM,KRS,NA,,
"Diesel, heating oil final consumption of non-metallic minerals.Mtoe",BM,GDO,NONBIODIES,NONMET,
NA,BM,RFO,NA,,
NA,BM,OLQ,NA,,
Natural gas final consumption of non-metallic minerals.Mtoe,BM,NGS,NATGAS,NONMET,Final Energy|Industry|Non-Metallic Minerals|Gases|Fossil
NA,BM,OGS,COKEOVGS,NONMET,
NA,BM,NUC,NA,,
NA,BM,STE,NA,,Final Energy|Industry|Non-Metallic Minerals|Heat
NA,BM,HYD,NA,,Final Energy|Industry|Non-Metallic Minerals|Hydrogen
NA,BM,WND,NA,,
NA,BM,SOL,NA,,Final Energy|Industry|Non-Metallic Minerals|Solar
Biomass final consumption of non-metallic minerals.Mtoe,BM,BMSWAS,NA,NONMET,Final Energy|Industry|Non-Metallic Minerals|Solids|Biomass
NA,BM,GEO,NA,,
NA,BM,MET,NA,,
NA,BM,ETH,NA,,
NA,BM,BGDO,BIODIESEL,NONMET,Final Energy|Industry|Non-Metallic Minerals|Liquids|Biomass
NA,BM,H2F,NA,,
Electricity final consumption of non-metallic minerals.Mtoe,BM,ELC,ELECTR,NONMET,Final Energy|Industry|Non-Metallic Minerals|Electricity
NA,BM,PHEVGSL,NA,,
NA,BM,PHEVGDO,NA,,
NA,BM,CHEVGSL,NA,,
NA,BM,CHEVGDO,NA,,
NA,BM,SLD,NA,,Final Energy|Industry|Non-Metallic Minerals|Solids
NA,BM,GAS,NA,,Final Energy|Industry|Non-Metallic Minerals|Gases
NA,BM,LQD,NA,,
NA,BM,OLQT,NA,,
NA,BM,NFF,NA,,
NA,BM,NEF,NA,,
NA,BM,HEATPUMP,NA,,
NA,PP,REN,NA,,
Coal and lignite final consumption of paper and pulp.Mtoe,PP,HCL,BITCOAL,PAPERPRO,Final Energy|Industry|Pulp and Paper|Solids|Coal
NA,PP,LGN,LIGNITE,PAPERPRO,
NA,PP,CRO,NA,,Final Energy|Industry|Pulp and Paper|Liquids|Fossil
NA,PP,LPG,LPG,PAPERPRO,
NA,PP,GSL,NONBIOGASO,PAPERPRO,Final Energy|Industry|Pulp and Paper|Liquids
NA,PP,KRS,NA,,
"Diesel, heating oil final consumption of paper and pulp.Mtoe",PP,GDO,NONBIODIES,PAPERPRO,
NA,PP,RFO,NA,,
NA,PP,OLQ,NA,,
Natural gas final consumption of paper and pulp.Mtoe,PP,NGS,NATGAS,PAPERPRO,Final Energy|Industry|Pulp and Paper|Gases|Fossil
NA,PP,OGS,NA,NA,
NA,PP,NUC,NA,,
NA,PP,STE,NA,,Final Energy|Industry|Pulp and Paper|Heat
