ENERDATA,SBS,EF,IEA,flow,Navigate
NA,PB,CHEVGDO,NA,,
NA,PB,SLD,NA,,
NA,PB,GAS,NA,,
NA,PB,LQD,NA,,
NA,PB,OLQT,NA,,
NA,PB,NFF,NA,,
NA,PB,NEF,NA,,
NA,PB,HEATPUMP,NA,,
Diesel final consumption of rail transport.Mtoe,PT,GDO,NA,NA,
NA,PT,REN,NA,,
Electricity final consumption of rail transport.Mtoe,PT,ELC,NA,NA,Final Energy|Transportation|Rail|Electricity
NA,PT,HCL,NA,,
NA,PT,LGN,NA,,
NA,PT,CRO,NA,,
NA,PT,LPG,NA,,
NA,PT,GSL,NA,,Final Energy|Transportation|Rail|Liquids
NA,PT,KRS,NA,,
NA,PT,RFO,NA,,
NA,PT,OLQ,NA,,
NA,PT,NGS,NA,,Final Energy|Transportation|Rail|Gases|Fossil
NA,PT,OGS,NA,,
NA,PT,NUC,NA,,
NA,PT,STE,NA,,
NA,PT,HYD,NA,,Final Energy|Transportation|Rail|Hydrogen
NA,PT,WND,NA,,
NA,PT,SOL,NA,,
NA,PT,BMSWAS,NA,,
NA,PT,GEO,NA,,
NA,PT,MET,NA,,
NA,PT,ETH,NA,,
NA,PT,BGDO,NA,,
NA,PT,H2F,NA,,
NA,PT,PHEVGSL,NA,,
NA,PT,PHEVGDO,NA,,
NA,PT,CHEVGSL,NA,,
NA,PT,CHEVGDO,NA,,
NA,PT,SLD,NA,,
NA,PT,GAS,NA,,Final Energy|Transportation|Rail|Gases
NA,PT,LQD,NA,,
NA,PT,OLQT,NA,,
NA,PT,NFF,NA,,
NA,PT,NEF,NA,,
NA,PT,HEATPUMP,NA,,
NA,PA,REN,NA,,
NA,PA,HCL,NA,,
NA,PA,LGN,NA,,
NA,PA,CRO,NA,,
NA,PA,LPG,NA,,
NA,PA,GSL,NA,,
Kerosene final consumption.Mtoe,PA,KRS,NONBIOJETK,TOTTRANS,Final Energy|Transportation|Domestic Aviation|Liquids
NA,PA,GDO,NA,,
NA,PA,RFO,NA,,
NA,PA,OLQ,NA,,
NA,PA,NGS,NA,,
NA,PA,OGS,NA,,
NA,PA,NUC,NA,,
NA,PA,STE,NA,,
NA,PA,HYD,NA,,Final Energy|Transportation|Domestic Aviation|Hydrogen
NA,PA,WND,NA,,
NA,PA,SOL,NA,,
NA,PA,BMSWAS,NA,,
NA,PA,GEO,NA,,
NA,PA,MET,NA,,
NA,PA,ETH,NA,,
NA,PA,BGDO,NA,,
NA,PA,H2F,NA,,
NA,PA,ELC,NA,,Final Energy|Transportation|Domestic Aviation|Electricity
NA,PA,PHEVGSL,NA,,
NA,PA,PHEVGDO,NA,,
NA,PA,CHEVGSL,NA,,
NA,PA,CHEVGDO,NA,,
NA,PA,SLD,NA,,
NA,PA,GAS,NA,,
NA,PA,LQD,NA,,
NA,PA,OLQT,NA,,
NA,PA,NFF,NA,,
NA,PA,NEF,NA,,
NA,PA,HEATPUMP,NA,,
NA,GU,REN,NA,,
NA,GU,HCL,NA,TOTTRANS,
NA,GU,LGN,NA,,
NA,GU,CRO,NA,,Final Energy|Transportation|Truck|Liquids|Fossil
NA,GU,LPG,NA,,
NA,GU,GSL,NA,,Final Energy|Transportation|Truck|Liquids
Diesel final consumption of road transport (excl biodiesel).Mtoe,GU,GDO,NONBIODIES,TOTTRANS,
NA,GU,NGS,NATGAS,TOTTRANS,Final Energy|Transportation|Truck|Gases
NA,GU,BGDO,BIODIESEL,TOTTRANS,Final Energy|Transportation|Truck|Liquids|Biomass
NA,GU,ELC,NA,NA,Final Energy|Transportation|Truck|Electricity
NA,GU,KRS,NA,,
NA,GU,RFO,NA,,
NA,GU,OLQ,NA,,
NA,GU,OGS,NA,,
NA,GU,NUC,NA,,
NA,GU,STE,NA,,
NA,GU,HYD,NA,,Final Energy|Transportation|Truck|Hydrogen
NA,GU,WND,NA,,
NA,GU,SOL,NA,,
NA,GU,BMSWAS,NA,,
NA,GU,GEO,NA,,
NA,GU,MET,NA,,
NA,GU,ETH,NA,,
NA,GU,H2F,NA,,
NA,GU,PHEVGSL,NA,,
NA,GU,PHEVGDO,NA,,
NA,GU,CHEVGSL,NA,,
NA,GU,CHEVGDO,NA,,
NA,GU,SLD,NA,,
NA,GU,GAS,NA,,
NA,GU,LQD,NA,,
NA,GU,OLQT,NA,,
NA,GU,NFF,NA,,
NA,GU,NEF,NA,,
NA,GU,HEATPUMP,NA,,
NA,GT,REN,NA,,
NA,GT,HCL,NA,,
NA,GT,LGN,NA,,
NA,GT,CRO,NA,,
NA,GT,LPG,NA,,
NA,GT,GSL,NA,,Final Energy|Transportation|Rail|Liquids
NA,GT,KRS,NA,,
NA,GT,RFO,NA,,
NA,GT,OLQ,NA,,
NA,GT,NGS,NA,,Final Energy|Transportation|Rail|Gases|Fossil
NA,GT,OGS,NA,,
NA,GT,NUC,NA,,
NA,GT,STE,NA,,
NA,GT,HYD,NA,,Final Energy|Transportation|Rail|Hydrogen
NA,GT,WND,NA,,
NA,GT,SOL,NA,,
NA,GT,BMSWAS,NA,,
NA,GT,GEO,NA,,
NA,GT,MET,NA,,
NA,GT,ETH,NA,,
NA,GT,BGDO,NA,,
NA,GT,H2F,NA,,
Diesel final consumption of rail transport.Mtoe,GT,GDO,NA,NA,
Electricity final consumption of rail transport.Mtoe,GT,ELC,NA,NA,Final Energy|Transportation|Rail|Electricity
NA,GT,PHEVGSL,NA,,
NA,GT,PHEVGDO,NA,,
NA,GT,CHEVGSL,NA,,
NA,GT,CHEVGDO,NA,,
NA,GT,SLD,NA,,
NA,GT,GAS,NA,,Final Energy|Transportation|Rail|Gases
NA,GT,LQD,NA,,
NA,GT,OLQT,NA,,
NA,GT,NFF,NA,,
NA,GT,NEF,NA,,
NA,GT,HEATPUMP,NA,,
Coal and lignite final consumption of internal navigation.Mtoe,GN,HCL,BITCOAL,TOTTRANS,
Diesel final consumption of navigation.Mtoe,GN,GDO,NA,NA,
NA,GN,REN,NA,,
NA,GN,LGN,NA,,
NA,GN,CRO,NA,,Final Energy|Transportation|Freight|Liquids|Fossil
NA,GN,LPG,NA,,
NA,GN,GSL,NA,,Final Energy|Transportation|Freight|Liquids
NA,GN,KRS,NA,,
NA,GN,RFO,NA,,
NA,GN,OLQ,NA,,
NA,GN,NGS,NA,,
NA,GN,OGS,NA,,
NA,GN,NUC,NA,,
NA,GN,STE,NA,,
NA,GN,HYD,NA,,Final Energy|Transportation|Freight|Hydrogen
NA,GN,WND,NA,,
NA,GN,SOL,NA,,
NA,GN,BMSWAS,NA,,
NA,GN,GEO,NA,,
NA,GN,MET,NA,,
NA,GN,ETH,NA,,
NA,GN,BGDO,NA,,Final Energy|Transportation|Freight|Liquids|Biomass
NA,GN,H2F,NA,,
NA,GN,ELC,NA,,Final Energy|Transportation|Freight|Electricity
NA,GN,PHEVGSL,NA,,
NA,GN,PHEVGDO,NA,,
NA,GN,CHEVGSL,NA,,
NA,GN,CHEVGDO,NA,,
NA,GN,SLD,NA,,
NA,GN,GAS,NA,,Final Energy|Transportation|Freight|Gases
NA,GN,LQD,NA,,
NA,GN,OLQT,NA,,
NA,GN,NFF,NA,,
NA,GN,NEF,NA,,
NA,GN,HEATPUMP,NA,,
NA,BU,REN,NA,,
NA,BU,HCL,NA,,
NA,BU,LGN,NA,,
Heavy fuel oil consumption for marine bunkers.Mt,BU,CRO,NA,NA,
NA,BU,LPG,NA,,
NA,BU,GSL,NONBIOGASO,MARBUNK,Final Energy|Bunkers|Liquids
NA,BU,KRS,NA,,
"Diesel, heating oil consumption for marine bunkers.Mt",BU,GDO,NONBIODIES,MARBUNK,
NA,BU,RFO,NA,,
NA,BU,OLQ,NA,,
NA,BU,NGS,NATGAS,MARBUNK,Final Energy|Bunkers|Gases
NA,BU,OGS,NA,,
NA,BU,NUC,NA,,
NA,BU,STE,NA,,
NA,BU,HYD,NA,,Final Energy|Bunkers|Hydrogen
NA,BU,WND,NA,,
NA,BU,SOL,NA,,
NA,BU,BMSWAS,NA,,
NA,BU,GEO,NA,,
NA,BU,MET,NA,,
NA,BU,ETH,NA,,
NA,BU,BGDO,BIODIESEL,MARBUNK,
NA,BU,H2F,NA,,
NA,BU,ELC,NA,,Final Energy|Bunkers|Electricity
NA,BU,PHEVGSL,NA,,
NA,BU,PHEVGDO,NA,,
NA,BU,CHEVGSL,NA,,
NA,BU,CHEVGDO,NA,,
NA,BU,SLD,NA,,
NA,BU,GAS,NA,,
NA,BU,LQD,NA,,
NA,BU,OLQT,NA,,
NA,BU,NFF,NA,,
NA,BU,NEF,NA,,
NA,BU,HEATPUMP,NA,,
NA,NEN,REN,NA,,
Coal final consumption of non energy uses.Mtoe,NEN,HCL,BITCOAL,NONENUSE,Final Energy|Non-Energy Use|Solids|Coal
NA,NEN,LGN,LIGNITE,NONENUSE,
Oil final consumption of non energy uses.Mtoe,NEN,CRO,NA,NA,Final Energy|Non-Energy Use|Liquids|Fossil
LPG final consumption of non energy uses.Mtoe,NEN,LPG,LPG,NONENUSE,
NA,NEN,GSL,NONBIOGASO,NONENUSE,Final Energy|Non-Energy Use|Liquids
NA,NEN,KRS,NA,,
NA,NEN,GDO,NONBIODIES,NONENUSE,
NA,NEN,RFO,NA,,
NA,NEN,OLQ,NA,,
Natural gas final consumption of non energy uses.Mtoe,NEN,NGS,NATGAS,NONENUSE,Final Energy|Non-Energy Use|Gases|Fossil
NA,NEN,OGS,COKEOVGS,NONENUSE,
NA,NEN,NUC,NA,,
NA,NEN,STE,NA,,
NA,NEN,HYD,NA,,Final Energy|Non-Energy Use|Hydrogen
NA,NEN,WND,NA,,
NA,NEN,SOL,NA,,
NA,NEN,BMSWAS,NA,,Final Energy|Non-Energy Use|Solids|Biomass
NA,NEN,GEO,NA,,
NA,NEN,MET,NA,,
NA,NEN,ETH,NA,,
NA,NEN,BGDO,NA,,
NA,NEN,H2F,NA,,
NA,NEN,ELC,NA,,
NA,NEN,PHEVGSL,NA,,
NA,NEN,PHEVGDO,NA,,
NA,NEN,CHEVGSL,NA,,
NA,NEN,CHEVGDO,NA,,
NA,NEN,SLD,NA,,Final Energy|Non-Energy Use|Solids
NA,NEN,GAS,NA,,Final Energy|Non-Energy Use|Gases
NA,NEN,LQD,NA,,
NA,NEN,OLQT,NA,,
NA,NEN,NFF,NA,,
NA,NEN,NEF,NA,,
NA,NEN,HEATPUMP,NA,,
NA,PG,REN,NA,,
NA,PG,HCL,NA,,
NA,PG,LGN,NA,,
NA,PG,CRO,NA,,
NA,PG,LPG,NA,,
NA,PG,GSL,NA,,
NA,PG,KRS,NA,,
NA,PG,GDO,NA,,
NA,PG,RFO,NA,,
NA,PG,OLQ,NA,,
NA,PG,NGS,NA,,
NA,PG,OGS,NA,,
NA,PG,NUC,NA,,
NA,PG,STE,NA,,
NA,PG,HYD,NA,,
NA,PG,WND,NA,,
NA,PG,SOL,NA,,
NA,PG,BMSWAS,NA,,
NA,PG,GEO,NA,,
NA,PG,MET,NA,,
NA,PG,ETH,NA,,
NA,PG,BGDO,NA,,
NA,PG,H2F,NA,,
NA,PG,ELC,NA,,
NA,PG,PHEVGSL,NA,,
NA,PG,PHEVGDO,NA,,
NA,PG,CHEVGSL,NA,,
NA,PG,CHEVGDO,NA,,
NA,PG,SLD,NA,,
NA,PG,GAS,NA,,
NA,PG,LQD,NA,,
NA,PG,OLQT,NA,,
NA,PG,NFF,NA,,
NA,PG,NEF,NA,,
NA,PG,HEATPUMP,NA,,
NA,H2P,REN,NA,,
NA,H2P,HCL,NA,,
NA,H2P,LGN,NA,,
NA,H2P,CRO,NA,,
NA,H2P,LPG,NA,,
NA,H2P,GSL,NA,,
NA,H2P,KRS,NA,,
NA,H2P,GDO,NA,,
NA,H2P,RFO,NA,,
NA,H2P,OLQ,NA,,
NA,H2P,NGS,NA,,
NA,H2P,OGS,NA,,
NA,H2P,NUC,NA,,
NA,H2P,STE,NA,,
NA,H2P,HYD,NA,,
NA,H2P,WND,NA,,
NA,H2P,SOL,NA,,
NA,H2P,BMSWAS,NA,,
NA,H2P,GEO,NA,,
NA,H2P,MET,NA,,
NA,H2P,ETH,NA,,
NA,H2P,BGDO,NA,,
NA,H2P,H2F,NA,,
NA,H2P,ELC,NA,,
NA,H2P,PHEVGSL,NA,,
NA,H2P,PHEVGDO,NA,,
NA,H2P,CHEVGSL,NA,,
NA,H2P,CHEVGDO,NA,,
NA,H2P,SLD,NA,,
NA,H2P,GAS,NA,,
NA,H2P,LQD,NA,,
NA,H2P,OLQT,NA,,
NA,H2P,NFF,NA,,
NA,H2P,NEF,NA,,
NA,H2P,HEATPUMP,NA,,
NA,H2INFR,REN,NA,,
NA,H2INFR,HCL,NA,,
NA,H2INFR,LGN,NA,,
NA,H2INFR,CRO,NA,,
NA,H2INFR,LPG,NA,,
NA,H2INFR,GSL,NA,,
NA,H2INFR,KRS,NA,,
NA,H2INFR,GDO,NA,,
NA,H2INFR,RFO,NA,,
NA,H2INFR,OLQ,NA,,
NA,H2INFR,NGS,NA,,
NA,H2INFR,OGS,NA,,
NA,H2INFR,NUC,NA,,
NA,H2INFR,STE,NA,,
NA,H2INFR,HYD,NA,,
NA,H2INFR,WND,NA,,
NA,H2INFR,SOL,NA,,
NA,H2INFR,BMSWAS,NA,,
NA,H2INFR,GEO,NA,,
NA,H2INFR,MET,NA,,
NA,H2INFR,ETH,NA,,
NA,H2INFR,BGDO,NA,,
NA,H2INFR,H2F,NA,,
NA,H2INFR,ELC,NA,,
NA,H2INFR,PHEVGSL,NA,,
NA,H2INFR,PHEVGDO,NA,,
NA,H2INFR,CHEVGSL,NA,,
NA,H2INFR,CHEVGDO,NA,,
NA,H2INFR,SLD,NA,,
NA,H2INFR,GAS,NA,,
NA,H2INFR,LQD,NA,,
NA,H2INFR,OLQT,NA,,
NA,H2INFR,NFF,NA,,
NA,H2INFR,NEF,NA,,
NA,H2INFR,HEATPUMP,NA,,
