ENERDATA,SBS,EF,IEA,flow
Natural gas final consumption of non ferrous metals.Mtoe,NF,NGS,NATURAL_GAS,NONFERR
NA,NF,OGS,TCOKEOVS,NONFERR
NA,NF,NUC,NUCLEAR,NONFERR
NA,NF,STE,NA,NONFERR
NA,NF,HYD,HYDRO,NONFERR
NA,NF,WND,WIND,NONFERR
NA,NF,SOL,SOLAR_PV,NONFERR
Biomass final consumption of non ferrous metals.Mtoe,NF,BMSWAS,PRIMARY_SOLID_BIOFUEL,NONFERR
NA,NF,GEO,GEOTHERMAL,NONFERR
NA,NF,MET,NA,NONFERR
NA,NF,ETH,ETHANE,NONFERR
NA,NF,BGDO,BIODIESEL,NONFERR
NA,NF,H2F,NA,NONFERR
Electricity final consumption of non ferrous metals.Mtoe,NF,ELC,ELECTRICITY,NONFERR
NA,NF,STE1AL,NA,NONFERR
Heat final consumption of non ferrous metals.Mtoe,NF,STE1AH,MAINHEAT,NONFERR
NA,NF,STE1AD,NA,NONFERR
NA,NF,STE1AR,NA,NONFERR
NA,NF,STE1AG,NA,NONFERR
NA,NF,STE1AB,NA,NONFERR
NA,NF,STE1AH2F,NA,NONFERR
NA,NF,STE2LGN,NA,NONFERR
NA,NF,STE2OSL,NA,NONFERR
NA,NF,STE2GDO,NA,NONFERR
NA,NF,STE2RFO,NA,NONFERR
NA,NF,STE2OLQ,NA,NONFERR
NA,NF,STE2NGS,NA,NONFERR
NA,NF,STE2OGS,NA,NONFERR
NA,NF,STE2BMS,NA,NONFERR
NA,NF,PHEVGSL,NA,NONFERR
NA,NF,PHEVGDO,NA,NONFERR
NA,NF,CHEVGSL,NA,NONFERR
NA,NF,CHEVGDO,NA,NONFERR
NA,NF,SLD,NA,NONFERR
NA,NF,GAS,NA,NONFERR
NA,NF,LQD,NA,NONFERR
NA,NF,OLQT,NA,NONFERR
NA,NF,NFF,NA,NONFERR
NA,NF,NEF,NA,NONFERR
NA,NF,HEATPUMP,NA,NONFERR
NA,CH,REN,NA,CHEMICAL
Coal and lignite final consumption of chemical industry.Mtoe,CH,HCL,COAL,CHEMICAL
NA,CH,LGN,LIGNITE,CHEMICAL
Oil final consumption of chemical industry.Mtoe,CH,CRO,CRUDE_OIL,CHEMICAL
NA,CH,LPG,LPG,CHEMICAL
NA,CH,GSL,MOTOR_GASOLINE_NONBIO,CHEMICAL
NA,CH,KRS,KEROSENE_JET_NONBIO,CHEMICAL
"Diesel, heating oil final consumption of chemical industry.Mtoe",CH,GDO,GAS_DIESEL_OIL_NONBIO,CHEMICAL
Heavy fuel oil final consumption of chemical industry.Mtoe,CH,RFO,FUEL_OIL_RESIDUAL,CHEMICAL
NA,CH,OLQ,LIQBIOFUEL_OTH,CHEMICAL
Natural gas final consumption of chemical industry.Mtoe,CH,NGS,NATURAL_GAS,CHEMICAL
NA,CH,OGS,TCOKEOVS,CHEMICAL
NA,CH,NUC,NUCLEAR,CHEMICAL
NA,CH,STE,NA,CHEMICAL
NA,CH,HYD,HYDRO,CHEMICAL
NA,CH,WND,WIND,CHEMICAL
NA,CH,SOL,SOLAR_PV,CHEMICAL
Biomass final consumption of chemical industry.Mtoe,CH,BMSWAS,PRIMARY_SOLID_BIOFUEL,CHEMICAL
NA,CH,GEO,GEOTHERMAL,CHEMICAL
NA,CH,MET,NA,CHEMICAL
NA,CH,ETH,ETHANE,CHEMICAL
NA,CH,BGDO,BIODIESEL,CHEMICAL
NA,CH,H2F,NA,CHEMICAL
Electricity final consumption of chemical industry.Mtoe,CH,ELC,ELECTRICITY,CHEMICAL
NA,CH,STE1AL,NA,CHEMICAL
Heat final consumption of chemical industry.Mtoe,CH,STE1AH,MAINHEAT,CHEMICAL
NA,CH,STE1AD,NA,CHEMICAL
NA,CH,STE1AR,NA,CHEMICAL
NA,CH,STE1AG,NA,CHEMICAL
NA,CH,STE1AB,NA,CHEMICAL
NA,CH,STE1AH2F,NA,CHEMICAL
NA,CH,STE2LGN,NA,CHEMICAL
NA,CH,STE2OSL,NA,CHEMICAL
NA,CH,STE2GDO,NA,CHEMICAL
NA,CH,STE2RFO,NA,CHEMICAL
NA,CH,STE2OLQ,NA,CHEMICAL
NA,CH,STE2NGS,NA,CHEMICAL
NA,CH,STE2OGS,NA,CHEMICAL
NA,CH,STE2BMS,NA,CHEMICAL
NA,CH,PHEVGSL,NA,CHEMICAL
NA,CH,PHEVGDO,NA,CHEMICAL
NA,CH,CHEVGSL,NA,CHEMICAL
NA,CH,CHEVGDO,NA,CHEMICAL
NA,CH,SLD,NA,CHEMICAL
NA,CH,GAS,NA,CHEMICAL
NA,CH,LQD,NA,CHEMICAL
NA,CH,OLQT,NA,CHEMICAL
NA,CH,NFF,NA,CHEMICAL
NA,CH,NEF,NA,CHEMICAL
NA,CH,HEATPUMP,NA,CHEMICAL
NA,BM,REN,NA,NONMET
Coal and lignite final consumption of non-metallic minerals.Mtoe,BM,HCL,COAL,NONMET
NA,BM,LGN,LIGNITE,NONMET
Oil final consumption of non-metallic minerals.Mtoe,BM,CRO,CRUDE_OIL,NONMET
NA,BM,LPG,LPG,NONMET
NA,BM,GSL,MOTOR_GASOLINE_NONBIO,NONMET
NA,BM,KRS,KEROSENE_JET_NONBIO,NONMET
"Diesel, heating oil final consumption of non-metallic minerals.Mtoe",BM,GDO,GAS_DIESEL_OIL_NONBIO,NONMET
Heavy fuel oil final consumption of non-metallic minerals.Mtoe,BM,RFO,FUEL_OIL_RESIDUAL,NONMET
NA,BM,OLQ,LIQBIOFUEL_OTH,NONMET
Natural gas final consumption of non-metallic minerals.Mtoe,BM,NGS,NATURAL_GAS,NONMET
NA,BM,OGS,TCOKEOVS,NONMET
NA,BM,NUC,NUCLEAR,NONMET
NA,BM,STE,NA,NONMET
NA,BM,HYD,HYDRO,NONMET
NA,BM,WND,WIND,NONMET
NA,BM,SOL,SOLAR_PV,NONMET
Biomass final consumption of non-metallic minerals.Mtoe,BM,BMSWAS,PRIMARY_SOLID_BIOFUEL,NONMET
NA,BM,GEO,GEOTHERMAL,NONMET
NA,BM,MET,NA,NONMET
NA,BM,ETH,ETHANE,NONMET
NA,BM,BGDO,BIODIESEL,NONMET
NA,BM,H2F,NA,NONMET
Electricity final consumption of non-metallic minerals.Mtoe,BM,ELC,ELECTRICITY,NONMET
NA,BM,STE1AL,NA,NONMET
Heat final consumption of non-metallic minerals.Mtoe,BM,STE1AH,MAINHEAT,NONMET
NA,BM,STE1AD,NA,NONMET
NA,BM,STE1AR,NA,NONMET
NA,BM,STE1AG,NA,NONMET
NA,BM,STE1AB,NA,NONMET
NA,BM,STE1AH2F,NA,NONMET
NA,BM,STE2LGN,NA,NONMET
NA,BM,STE2OSL,NA,NONMET
NA,BM,STE2GDO,NA,NONMET
NA,BM,STE2RFO,NA,NONMET
NA,BM,STE2OLQ,NA,NONMET
NA,BM,STE2NGS,NA,NONMET
NA,BM,STE2OGS,NA,NONMET
NA,BM,STE2BMS,NA,NONMET
NA,BM,PHEVGSL,NA,NONMET
NA,BM,PHEVGDO,NA,NONMET
NA,BM,CHEVGSL,NA,NONMET
NA,BM,CHEVGDO,NA,NONMET
NA,BM,SLD,NA,NONMET
NA,BM,GAS,NA,NONMET
NA,BM,LQD,NA,NONMET
NA,BM,OLQT,NA,NONMET
