ENERDATA,SBS,EF,IEA,flow
NA,CH,NUC,NA,
NA,CH,STE,NA,
NA,CH,HYD,NA,
NA,CH,WND,NA,
NA,CH,SOL,NA,
Biomass final consumption of chemical industry.Mtoe,CH,BMSWAS,NA,CHEMICAL
NA,CH,GEO,NA,
NA,CH,MET,NA,
NA,CH,ETH,NA,
NA,CH,BGDO,BIODIESEL,CHEMICAL
NA,CH,H2F,NA,
Electricity final consumption of chemical industry.Mtoe,CH,ELC,ELECTR,CHEMICAL
NA,CH,STE1AL,NA,
NA,CH,STE1AH,NA,
NA,CH,STE1AD,NA,
NA,CH,STE1AR,NA,
NA,CH,STE1AG,NA,
NA,CH,STE1AB,NA,
NA,CH,STE1AH2F,NA,
NA,CH,STE2LGN,NA,
NA,CH,STE2OSL,NA,
NA,CH,STE2GDO,NA,
NA,CH,STE2RFO,NA,
NA,CH,STE2OLQ,NA,
NA,CH,STE2NGS,NA,
NA,CH,STE2OGS,NA,
NA,CH,STE2BMS,NA,
NA,CH,PHEVGSL,NA,
NA,CH,PHEVGDO,NA,
NA,CH,CHEVGSL,NA,
NA,CH,CHEVGDO,NA,
NA,CH,SLD,NA,
NA,CH,GAS,NA,
NA,CH,LQD,NA,
NA,CH,OLQT,NA,
NA,CH,NFF,NA,
NA,CH,NEF,NA,
NA,CH,HEATPUMP,NA,
NA,BM,REN,NA,
Coal and lignite final consumption of non-metallic minerals.Mtoe,BM,HCL,BITCOAL,NONMET
NA,BM,LGN,LIGNITE,NONMET
NA,BM,CRO,NA,
NA,BM,LPG,LPG,NONMET
NA,BM,GSL,NONBIOGASO,NONMET
NA,BM,KRS,NA,
"Diesel, heating oil final consumption of non-metallic minerals.Mtoe",BM,GDO,NONBIODIES,NONMET
NA,BM,RFO,NA,
NA,BM,OLQ,NA,
Natural gas final consumption of non-metallic minerals.Mtoe,BM,NGS,NATGAS,NONMET
NA,BM,OGS,COKEOVGS,NONMET
NA,BM,NUC,NA,
NA,BM,STE,NA,
NA,BM,HYD,NA,
NA,BM,WND,NA,
NA,BM,SOL,NA,
Biomass final consumption of non-metallic minerals.Mtoe,BM,BMSWAS,NA,NONMET
NA,BM,GEO,NA,
NA,BM,MET,NA,
NA,BM,ETH,NA,
NA,BM,BGDO,BIODIESEL,NONMET
NA,BM,H2F,NA,
Electricity final consumption of non-metallic minerals.Mtoe,BM,ELC,ELECTR,NONMET
NA,BM,STE1AL,NA,
NA,BM,STE1AH,NA,
NA,BM,STE1AD,NA,
NA,BM,STE1AR,NA,
NA,BM,STE1AG,NA,
NA,BM,STE1AB,NA,
NA,BM,STE1AH2F,NA,
NA,BM,STE2LGN,NA,
NA,BM,STE2OSL,NA,
NA,BM,STE2GDO,NA,
NA,BM,STE2RFO,NA,
NA,BM,STE2OLQ,NA,
NA,BM,STE2NGS,NA,
NA,BM,STE2OGS,NA,
NA,BM,STE2BMS,NA,
NA,BM,PHEVGSL,NA,
NA,BM,PHEVGDO,NA,
NA,BM,CHEVGSL,NA,
NA,BM,CHEVGDO,NA,
NA,BM,SLD,NA,
NA,BM,GAS,NA,
NA,BM,LQD,NA,
NA,BM,OLQT,NA,
NA,BM,NFF,NA,
NA,BM,NEF,NA,
NA,BM,HEATPUMP,NA,
NA,PP,REN,NA,
Coal and lignite final consumption of paper and pulp.Mtoe,PP,HCL,BITCOAL,PAPERPRO
NA,PP,LGN,LIGNITE,PAPERPRO
NA,PP,CRO,NA,
NA,PP,LPG,LPG,PAPERPRO
NA,PP,GSL,NONBIOGASO,PAPERPRO
NA,PP,KRS,NA,
"Diesel, heating oil final consumption of paper and pulp.Mtoe",PP,GDO,NONBIODIES,PAPERPRO
NA,PP,RFO,NA,
NA,PP,OLQ,NA,
Natural gas final consumption of paper and pulp.Mtoe,PP,NGS,NATGAS,PAPERPRO
NA,PP,OGS,NA,NA
NA,PP,NUC,NA,
NA,PP,STE,NA,
NA,PP,HYD,NA,
NA,PP,WND,NA,
NA,PP,SOL,NA,
Biomass final consumption of paper and pulp.Mtoe,PP,BMSWAS,NA,PAPERPRO
NA,PP,GEO,NA,
NA,PP,MET,NA,
NA,PP,ETH,NA,
NA,PP,BGDO,BIODIESEL,PAPERPRO
NA,PP,H2F,NA,
Electricity final consumption of paper and pulp.Mtoe,PP,ELC,ELECTR,PAPERPRO
NA,PP,STE1AL,NA,
NA,PP,STE1AH,NA,
NA,PP,STE1AD,NA,
NA,PP,STE1AR,NA,
NA,PP,STE1AG,NA,
NA,PP,STE1AB,NA,
NA,PP,STE1AH2F,NA,
NA,PP,STE2LGN,NA,
NA,PP,STE2OSL,NA,
NA,PP,STE2GDO,NA,
NA,PP,STE2RFO,NA,
NA,PP,STE2OLQ,NA,
NA,PP,STE2NGS,NA,
NA,PP,STE2OGS,NA,
NA,PP,STE2BMS,NA,
NA,PP,PHEVGSL,NA,
NA,PP,PHEVGDO,NA,
NA,PP,CHEVGSL,NA,
NA,PP,CHEVGDO,NA,
NA,PP,SLD,NA,
NA,PP,GAS,NA,
NA,PP,LQD,NA,
NA,PP,OLQT,NA,
NA,PP,NFF,NA,
NA,PP,NEF,NA,
NA,PP,HEATPUMP,NA,
NA,FD,REN,NA,
Coal and lignite final consumption of food and tobacco.Mtoe,FD,HCL,BITCOAL,FOODPRO
NA,FD,LGN,LIGNITE,FOODPRO
NA,FD,CRO,NA,
NA,FD,LPG,LPG,FOODPRO
NA,FD,GSL,NONBIOGASO,FOODPRO
NA,FD,KRS,NA,
"Diesel, heating oil final consumption of food and tobacco.Mtoe",FD,GDO,NONBIODIES,FOODPRO
NA,FD,RFO,NA,
NA,FD,OLQ,NA,
Natural gas final consumption of food and tobacco.Mtoe,FD,NGS,NATGAS,FOODPRO
NA,FD,OGS,NA,
NA,FD,NUC,NA,
NA,FD,STE,NA,
NA,FD,HYD,NA,
NA,FD,WND,NA,
NA,FD,SOL,SOLARTH,FOODPRO
Biomass final consumption of food and tobacco.Mtoe,FD,BMSWAS,NA,FOODPRO
NA,FD,GEO,NA,
NA,FD,MET,NA,
NA,FD,ETH,NA,
NA,FD,BGDO,BIODIESEL,FOODPRO
NA,FD,H2F,NA,
Electricity final consumption of food and tobacco.Mtoe,FD,ELC,ELECTR,FOODPRO
NA,FD,STE1AL,NA,
NA,FD,STE1AH,NA,
NA,FD,STE1AD,NA,
NA,FD,STE1AR,NA,
NA,FD,STE1AG,NA,
NA,FD,STE1AB,NA,
NA,FD,STE1AH2F,NA,
NA,FD,STE2LGN,NA,
NA,FD,STE2OSL,NA,
NA,FD,STE2GDO,NA,
NA,FD,STE2RFO,NA,
NA,FD,STE2OLQ,NA,
NA,FD,STE2NGS,NA,
NA,FD,STE2OGS,NA,
NA,FD,STE2BMS,NA,
NA,FD,PHEVGSL,NA,
NA,FD,PHEVGDO,NA,
NA,FD,CHEVGSL,NA,
NA,FD,CHEVGDO,NA,
NA,FD,SLD,NA,
NA,FD,GAS,NA,
NA,FD,LQD,NA,
NA,FD,OLQT,NA,
NA,FD,NFF,NA,
NA,FD,NEF,NA,
NA,FD,HEATPUMP,NA,
NA,EN,REN,NA,
Coal and lignite final consumption of construction.Mtoe,EN,HCL,BITCOAL,CONSTRUC
NA,EN,LGN,NA,
Oil final consumption of construction.Mtoe,EN,CRO,NA,CONSTRUC
NA,EN,LPG,LPG,CONSTRUC
NA,EN,GSL,NONBIOGASO,CONSTRUC
NA,EN,KRS,NA,
"Diesel, heating oil final consumption of construction.Mtoe",EN,GDO,NONBIODIES,CONSTRUC
NA,EN,RFO,NA,
NA,EN,OLQ,NA,
Natural gas final consumption of construction.Mtoe,EN,NGS,NATGAS,CONSTRUC
NA,EN,OGS,NA,
NA,EN,NUC,NA,
NA,EN,STE,NA,
NA,EN,HYD,NA,
NA,EN,WND,NA,
NA,EN,SOL,NA,
Biomass final consumption of construction.Mtoe,EN,BMSWAS,NA,NA
NA,EN,GEO,NA,
NA,EN,MET,NA,
NA,EN,ETH,NA,
NA,EN,BGDO,BIODIESEL,CONSTRUC
NA,EN,H2F,NA,
Electricity final consumption of construction.Mtoe,EN,ELC,ELECTR,CONSTRUC
NA,EN,STE1AL,NA,
NA,EN,STE1AH,NA,
NA,EN,STE1AD,NA,
NA,EN,STE1AR,NA,
NA,EN,STE1AG,NA,
NA,EN,STE1AB,NA,
NA,EN,STE1AH2F,NA,
NA,EN,STE2LGN,NA,
NA,EN,STE2OSL,NA,
NA,EN,STE2GDO,NA,
NA,EN,STE2RFO,NA,
NA,EN,STE2OLQ,NA,
NA,EN,STE2NGS,NA,
NA,EN,STE2OGS,NA,
NA,EN,STE2BMS,NA,
NA,EN,PHEVGSL,NA,
NA,EN,PHEVGDO,NA,
NA,EN,CHEVGSL,NA,
NA,EN,CHEVGDO,NA,
NA,EN,SLD,NA,
NA,EN,GAS,NA,
NA,EN,LQD,NA,
NA,EN,OLQT,NA,
NA,EN,NFF,NA,
NA,EN,NEF,NA,
NA,EN,HEATPUMP,NA,
NA,TX,REN,NA,
Coal and lignite final consumption of textiles and leather.Mtoe,TX,HCL,BITCOAL,TEXTILES
NA,TX,LGN,LIGNITE,TEXTILES
NA,TX,CRO,NA,
NA,TX,LPG,LPG,TEXTILES
NA,TX,GSL,NONBIOGASO,TEXTILES
NA,TX,KRS,NA,
"Diesel, heating oil final consumption of textiles and leather.Mtoe",TX,GDO,NONBIODIES,TEXTILES
NA,TX,RFO,NA,
NA,TX,OLQ,NA,
Natural gas final consumption of textiles and leather.Mtoe,TX,NGS,NATGAS,TEXTILES
NA,TX,OGS,NA,
NA,TX,NUC,NA,
NA,TX,STE,NA,
NA,TX,HYD,NA,
NA,TX,WND,NA,
NA,TX,SOL,NA,
Biomass final consumption of textiles and leather.Mtoe,TX,BMSWAS,NA,TEXTILES
NA,TX,GEO,NA,
NA,TX,MET,NA,
NA,TX,ETH,NA,
NA,TX,BGDO,NA,
NA,TX,H2F,NA,
Electricity final consumption of textiles and leather.Mtoe,TX,ELC,ELECTR,TEXTILES
NA,TX,STE1AL,NA,
NA,TX,STE1AH,NA,
NA,TX,STE1AD,NA,
NA,TX,STE1AR,NA,
NA,TX,STE1AG,NA,
NA,TX,STE1AB,NA,
NA,TX,STE1AH2F,NA,
NA,TX,STE2LGN,NA,
NA,TX,STE2OSL,NA,
NA,TX,STE2GDO,NA,
NA,TX,STE2RFO,NA,
NA,TX,STE2OLQ,NA,
NA,TX,STE2NGS,NA,
NA,TX,STE2OGS,NA,
NA,TX,STE2BMS,NA,
NA,TX,PHEVGSL,NA,
NA,TX,PHEVGDO,NA,
NA,TX,CHEVGSL,NA,
NA,TX,CHEVGDO,NA,
NA,TX,SLD,NA,
NA,TX,GAS,NA,
NA,TX,LQD,NA,
NA,TX,OLQT,NA,
NA,TX,NFF,NA,
NA,TX,NEF,NA,
NA,TX,HEATPUMP,NA,
NA,OE,REN,NA,
Coal and lignite final consumption of mining.Mtoe,OE,HCL,BITCOAL,MINING
NA,OE,LGN,LIGNITE,MINING
NA,OE,CRO,NA,
NA,OE,LPG,LPG,MINING
NA,OE,GSL,NONBIOGASO,MINING
NA,OE,KRS,NA,
"Diesel, heating oil final consumption of mining.Mtoe",OE,GDO,NONBIODIES,MINING
NA,OE,RFO,NA,
NA,OE,OLQ,NA,
Natural gas final consumption of mining.Mtoe,OE,NGS,NATGAS,MINING
NA,OE,OGS,NA,
NA,OE,NUC,NA,
NA,OE,STE,NA,
NA,OE,HYD,NA,
NA,OE,WND,NA,
NA,OE,SOL,NA,
Biomass final consumption of mining.Mtoe,OE,BMSWAS,NA,NA
NA,OE,GEO,NA,
NA,OE,MET,NA,
NA,OE,ETH,NA,
NA,OE,BGDO,BIODIESEL,MINING
NA,OE,H2F,NA,
Electricity final consumption of mining.Mtoe,OE,ELC,ELECTR,MINING
NA,OE,STE1AL,NA,
NA,OE,STE1AH,NA,
NA,OE,STE1AD,NA,
NA,OE,STE1AR,NA,
NA,OE,STE1AG,NA,
NA,OE,STE1AB,NA,
NA,OE,STE1AH2F,NA,
NA,OE,STE2LGN,NA,
NA,OE,STE2OSL,NA,
NA,OE,STE2GDO,NA,
NA,OE,STE2RFO,NA,
NA,OE,STE2OLQ,NA,
NA,OE,STE2NGS,NA,
NA,OE,STE2OGS,NA,
NA,OE,STE2BMS,NA,
NA,OE,PHEVGSL,NA,
NA,OE,PHEVGDO,NA,
NA,OE,CHEVGSL,NA,
NA,OE,CHEVGDO,NA,
NA,OE,SLD,NA,
NA,OE,GAS,NA,
NA,OE,LQD,NA,
NA,OE,OLQT,NA,
NA,OE,NFF,NA,
NA,OE,NEF,NA,
NA,OE,HEATPUMP,NA,
NA,OI,REN,NA,
Coal and lignite final consumption miscellaneous industry.Mtoe,OI,HCL,NA,
NA,OI,LGN,NA,
NA,OI,CRO,NA,
NA,OI,LPG,NA,
NA,OI,GSL,NA,
NA,OI,KRS,NA,
"Diesel, heating oil final consumption miscellaneous industry.Mtoe",OI,GDO,NA,
NA,OI,RFO,NA,
NA,OI,OLQ,NA,
Natural gas final consumption of miscellaneous industry.Mtoe,OI,NGS,NA,
NA,OI,OGS,NA,
NA,OI,NUC,NA,
NA,OI,STE,NA,
NA,OI,HYD,NA,
NA,OI,WND,NA,
NA,OI,SOL,NA,
Biomass final consumption miscellaneous industry.Mtoe,OI,BMSWAS,NA,
NA,OI,GEO,NA,
NA,OI,MET,NA,
NA,OI,ETH,NA,
NA,OI,BGDO,NA,
NA,OI,H2F,NA,
Electricity final consumption miscellaneous industry.Mtoe,OI,ELC,NA,
NA,OI,STE1AL,NA,
NA,OI,STE1AH,NA,
NA,OI,STE1AD,NA,
NA,OI,STE1AR,NA,
NA,OI,STE1AG,NA,
NA,OI,STE1AB,NA,
NA,OI,STE1AH2F,NA,
NA,OI,STE2LGN,NA,
NA,OI,STE2OSL,NA,
NA,OI,STE2GDO,NA,
NA,OI,STE2RFO,NA,
NA,OI,STE2OLQ,NA,
NA,OI,STE2NGS,NA,
NA,OI,STE2OGS,NA,
NA,OI,STE2BMS,NA,
NA,OI,PHEVGSL,NA,
NA,OI,PHEVGDO,NA,
NA,OI,CHEVGSL,NA,
NA,OI,CHEVGDO,NA,
NA,OI,SLD,NA,
NA,OI,GAS,NA,
NA,OI,LQD,NA,
NA,OI,OLQT,NA,
NA,OI,NFF,NA,
NA,OI,NEF,NA,
NA,OI,HEATPUMP,NA,
NA,SE,REN,NA,
Coal final consumption of tertiary sector.Mtoe,SE,HCL,BITCOAL,COMMPUB
NA,SE,LGN,LIGNITE,COMMPUB
NA,SE,CRO,NA,
NA,SE,LPG,LPG,COMMPUB
NA,SE,GSL,NONBIOGASO,COMMPUB
NA,SE,KRS,NA,
Oil final consumption of tertiary sector.Mtoe,SE,GDO,NONBIODIES,COMMPUB
NA,SE,RFO,NA,
NA,SE,OLQ,NA,
Natural gas final consumption of tertiary sector.Mtoe,SE,NGS,NATGAS,COMMPUB
NA,SE,OGS,NA,NA
NA,SE,NUC,NA,
NA,SE,STE,NA,
NA,SE,HYD,NA,
NA,SE,WND,NA,
NA,SE,SOL,SOLARTH,COMMPUB
NA,SE,BMSWAS,NA,
NA,SE,GEO,GEOTHERM,COMMPUB
NA,SE,MET,NA,
NA,SE,ETH,BIOGASOL,COMMPUB
NA,SE,BGDO,BIODIESEL,COMMPUB
NA,SE,H2F,NA,
NA,SE,ELC,ELECTR,COMMPUB
NA,SE,STE1AL,NA,
NA,SE,STE1AH,NA,
NA,SE,STE1AD,NA,
NA,SE,STE1AR,NA,
NA,SE,STE1AG,NA,
NA,SE,STE1AB,NA,
NA,SE,STE1AH2F,NA,
NA,SE,STE2LGN,NA,
NA,SE,STE2OSL,NA,
NA,SE,STE2GDO,NA,
NA,SE,STE2RFO,NA,
NA,SE,STE2OLQ,NA,
NA,SE,STE2NGS,NA,
NA,SE,STE2OGS,NA,
NA,SE,STE2BMS,NA,
NA,SE,PHEVGSL,NA,
NA,SE,PHEVGDO,NA,
NA,SE,CHEVGSL,NA,
NA,SE,CHEVGDO,NA,
NA,SE,SLD,NA,
NA,SE,GAS,NA,
NA,SE,LQD,NA,
NA,SE,OLQT,NA,
NA,SE,NFF,NA,
NA,SE,NEF,NA,
NA,SE,HEATPUMP,NA,
NA,AG,REN,NA,
Coal and lignite final consumption of agriculture.Mtoe,AG,HCL,BITCOAL,AGRICULT
NA,AG,LGN,NA,
NA,AG,CRO,NA,
NA,AG,LPG,LPG,AGRICULT
NA,AG,GSL,NONBIOGASO,AGRICULT
NA,AG,KRS,NA,
"Diesel, heating oil final consumption of agriculture.Mtoe",AG,GDO,NONBIODIES,AGRICULT
Oil final consumption of agriculture.Mtoe,AG,RFO,NA,NA
NA,AG,OLQ,NA,
Natural gas final consumption of agriculture.Mtoe,AG,NGS,NATGAS,AGRICULT
NA,AG,OGS,NA,
NA,AG,NUC,NA,
NA,AG,STE,NA,
NA,AG,HYD,NA,
NA,AG,WND,NA,
NA,AG,SOL,SOLARTH,AGRICULT
Biomass final consumption of agriculture.Mtoe,AG,BMSWAS,NA,NA
NA,AG,GEO,GEOTHERM,AGRICULT
NA,AG,MET,NA,
NA,AG,ETH,BIOGASOL,AGRICULT
NA,AG,BGDO,BIODIESEL,AGRICULT
NA,AG,H2F,NA,
Electricity final consumption of agriculture.Mtoe,AG,ELC,ELECTR,AGRICULT
NA,AG,STE1AL,NA,
NA,AG,STE1AH,NA,
NA,AG,STE1AD,NA,
NA,AG,STE1AR,NA,
NA,AG,STE1AG,NA,
NA,AG,STE1AB,NA,
NA,AG,STE1AH2F,NA,
NA,AG,STE2LGN,NA,
NA,AG,STE2OSL,NA,
NA,AG,STE2GDO,NA,
NA,AG,STE2RFO,NA,
NA,AG,STE2OLQ,NA,
NA,AG,STE2NGS,NA,
NA,AG,STE2OGS,NA,
NA,AG,STE2BMS,NA,
NA,AG,PHEVGSL,NA,
NA,AG,PHEVGDO,NA,
NA,AG,CHEVGSL,NA,
NA,AG,CHEVGDO,NA,
NA,AG,SLD,NA,
NA,AG,GAS,NA,
NA,AG,LQD,NA,
NA,AG,OLQT,NA,
NA,AG,NFF,NA,
NA,AG,NEF,NA,
NA,AG,HEATPUMP,NA,
NA,HOU,REN,NA,
Coal and lignite final consumption of internal navigation.Mtoe,GN,HCL,BITCOAL,TOTTRANS
NA,HOU,LGN,LIGNITE,RESIDENT
NA,HOU,CRO,NA,
Diesel final consumption of navigation.Mtoe,GN,GDO,NA,NA
NA,HOU,GSL,NONBIOGASO,RESIDENT
NA,HOU,KRS,NA,
Diesel final consumption of rail transport.Mtoe,GT,GDO,NA,NA
NA,HOU,RFO,NA,
NA,HOU,OLQ,NA,
Electricity final consumption of rail transport.Mtoe,GT,ELC,NA,NA
NA,HOU,OGS,NA,
NA,HOU,NUC,NA,
NA,HOU,STE,NA,
NA,HOU,HYD,NA,
NA,HOU,WND,NA,
NA,HOU,SOL,SOLARTH,RESIDENT
Motor gasoline final consumption of road transport (excl bioethanol).Mtoe,GU,GSL,NONBIOGASO,TOTTRANS
NA,HOU,GEO,GEOTHERM,RESIDENT
NA,HOU,MET,NA,
NA,HOU,ETH,BIOGASOL,RESIDENT
NA,HOU,BGDO,BIODIESEL,RESIDENT
NA,HOU,H2F,NA,
Diesel final consumption of road transport (excl biodiesel).Mtoe,GU,GDO,NONBIODIES,TOTTRANS
NA,HOU,STE1AL,NA,
NA,HOU,STE1AH,NA,
NA,HOU,STE1AD,NA,
NA,HOU,STE1AR,NA,
NA,HOU,STE1AG,NA,
NA,HOU,STE1AB,NA,
NA,HOU,STE1AH2F,NA,
