ENERDATA,SBS,EF
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,NF,STE1AH
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,NF,STE1AD
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,NF,STE1AR
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,NF,STE1AG
NA,NF,STE1AB
NA,NF,STE1AH2F
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,NF,STE2LGN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,NF,STE2OSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,NF,STE2GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,NF,STE2RFO
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,NF,STE2OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,NF,STE2NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,NF,STE2OGS
NA,NF,STE2BMS
NA,NF,PHEVGSL
NA,NF,PHEVGDO
NA,NF,CHEVGSL
NA,NF,CHEVGDO
NA,NF,SLD
NA,NF,GAS
NA,NF,LQD
NA,NF,OLQT
NA,NF,NFF
NA,NF,NEF
NA,NF,HEATPUMP
NA,CH,REN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,CH,HCL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,CH,LGN
NA,CH,CRO
Constant price in toe in US$15 of diesel (taxes incl).$15/toe,CH,LPG
Constant price per toe in US$15 of premium gasoline (taxes incl).$15/toe,CH,GSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,CH,KRS
Constant price in toe in US$15 of diesel (taxes incl).$15/toe,CH,GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,CH,RFO
NA,CH,OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,CH,NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,CH,OGS
NA,CH,NUC
NA,CH,STE
NA,CH,HYD
NA,CH,WND
NA,CH,SOL
NA,CH,BMSWAS
NA,CH,GEO
NA,CH,MET
NA,CH,ETH
NA,CH,BGDO
NA,CH,H2F
Constant price per toe in US$ of electricity in industry (taxes incl).$15/toe,CH,ELC
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,CH,STE1AL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,CH,STE1AH
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,CH,STE1AD
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,CH,STE1AR
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,CH,STE1AG
NA,CH,STE1AB
NA,CH,STE1AH2F
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,CH,STE2LGN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,CH,STE2OSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,CH,STE2GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,CH,STE2RFO
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,CH,STE2OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,CH,STE2NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,CH,STE2OGS
NA,CH,STE2BMS
NA,CH,PHEVGSL
NA,CH,PHEVGDO
NA,CH,CHEVGSL
NA,CH,CHEVGDO
NA,CH,SLD
NA,CH,GAS
NA,CH,LQD
NA,CH,OLQT
NA,CH,NFF
NA,CH,NEF
NA,CH,HEATPUMP
NA,BM,REN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,BM,HCL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,BM,LGN
NA,BM,CRO
Constant price in toe in US$15 of diesel (taxes incl).$15/toe,BM,LPG
Constant price per toe in US$15 of premium gasoline (taxes incl).$15/toe,BM,GSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,BM,KRS
Constant price in toe in US$15 of diesel (taxes incl).$15/toe,BM,GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,BM,RFO
NA,BM,OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,BM,NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,BM,OGS
NA,BM,NUC
NA,BM,STE
NA,BM,HYD
NA,BM,WND
NA,BM,SOL
NA,BM,BMSWAS
NA,BM,GEO
NA,BM,MET
NA,BM,ETH
NA,BM,BGDO
NA,BM,H2F
Constant price per toe in US$ of electricity in industry (taxes incl).$15/toe,BM,ELC
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,BM,STE1AL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,BM,STE1AH
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,BM,STE1AD
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,BM,STE1AR
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,BM,STE1AG
NA,BM,STE1AB
NA,BM,STE1AH2F
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,BM,STE2LGN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,BM,STE2OSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,BM,STE2GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,BM,STE2RFO
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,BM,STE2OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,BM,STE2NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,BM,STE2OGS
NA,BM,STE2BMS
NA,BM,PHEVGSL
NA,BM,PHEVGDO
NA,BM,CHEVGSL
NA,BM,CHEVGDO
NA,BM,SLD
NA,BM,GAS
NA,BM,LQD
NA,BM,OLQT
NA,BM,NFF
NA,BM,NEF
NA,BM,HEATPUMP
NA,PP,REN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,PP,HCL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,PP,LGN
NA,PP,CRO
Constant price in toe in US$15 of diesel (taxes incl).$15/toe,PP,LPG
Constant price per toe in US$15 of premium gasoline (taxes incl).$15/toe,PP,GSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,PP,KRS
Constant price in toe in US$15 of diesel (taxes incl).$15/toe,PP,GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,PP,RFO
NA,PP,OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,PP,NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,PP,OGS
NA,PP,NUC
NA,PP,STE
NA,PP,HYD
NA,PP,WND
NA,PP,SOL
NA,PP,BMSWAS
NA,PP,GEO
NA,PP,MET
NA,PP,ETH
NA,PP,BGDO
NA,PP,H2F
Constant price per toe in US$ of electricity in industry (taxes incl).$15/toe,PP,ELC
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,PP,STE1AL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,PP,STE1AH
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,PP,STE1AD
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,PP,STE1AR
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,PP,STE1AG
NA,PP,STE1AB
NA,PP,STE1AH2F
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,PP,STE2LGN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,PP,STE2OSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,PP,STE2GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,PP,STE2RFO
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,PP,STE2OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,PP,STE2NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,PP,STE2OGS
NA,PP,STE2BMS
NA,PP,PHEVGSL
NA,PP,PHEVGDO
NA,PP,CHEVGSL
NA,PP,CHEVGDO
NA,PP,SLD
NA,PP,GAS
NA,PP,LQD
NA,PP,OLQT
NA,PP,NFF
NA,PP,NEF
NA,PP,HEATPUMP
NA,FD,REN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,FD,HCL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,FD,LGN
NA,FD,CRO
Constant price in toe in US$15 of diesel (taxes incl).$15/toe,FD,LPG
Constant price per toe in US$15 of premium gasoline (taxes incl).$15/toe,FD,GSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,FD,KRS
Constant price in toe in US$15 of diesel (taxes incl).$15/toe,FD,GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,FD,RFO
NA,FD,OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,FD,NGS
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,FD,OGS
NA,FD,NUC
NA,FD,STE
NA,FD,HYD
NA,FD,WND
NA,FD,SOL
NA,FD,BMSWAS
NA,FD,GEO
NA,FD,MET
NA,FD,ETH
NA,FD,BGDO
NA,FD,H2F
Constant price per toe in US$ of electricity in industry (taxes incl).$15/toe,FD,ELC
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,FD,STE1AL
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,FD,STE1AH
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,FD,STE1AD
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,FD,STE1AR
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,FD,STE1AG
NA,FD,STE1AB
NA,FD,STE1AH2F
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,FD,STE2LGN
Constant price per toe in US$ of bituminous coal in industry (taxes incl).$15/toe,FD,STE2OSL
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,FD,STE2GDO
Constant price per toe in US$15 of heavy fuel oil (taxes incl).$15/toe,FD,STE2RFO
Constant price in toe in US$15 of diesel (commercial use) (taxes incl).$15/toe,FD,STE2OLQ
Constant price per toe in US$15 of natural gas in industry (taxes incl) NCV.$15/toe,FD,STE2NGS
