OPEN-PROM,ENERDATA (Mtoe),PROM Description
NGS,Natural gas transport/distribution losses,Natural Gas
OGS,Transport distribution losses of gas,Other Gases
STE,NA,Steam
ELC,Transport distribution losses of electricity,Electricity
