OPEN-PROM,PRIMES
TSTE2LGN,District heating boilers lignite
TSTE2OSL,District heating boilers coal
TSTE2GDO,District heating boilers fuel oil
TSTE2RFO,District heating boilers fuel oil
TSTE2OLQ,District heating boilers fuel oil
TSTE2OGS,District heating boilers gas
TSTE2NGS,District heating boilers gas
TSTE2BMS,District heating boilers biomass
