ENERDATA,EF
Motor gasoline production.Mtoe,GSL
"Diesel, heating oil production.Mtoe",GDO
Heavy fuel oil production.Mt,RFO
LPG (including ethane before 1990) production.Mt,LPG
Kerosene production.Mt,KRS
NA,OLQ
