ENERDATA,SBS,EF,IEA,flow,Navigate,TREMOVE,FUEL
Kerosene final consumption.Mtoe,PA,KRS,NONBIOJETK,TOTTRANS,Final Energy|Transportation|Domestic Aviation|Liquids,Aviation,Jet Fuel
NA,PA,GDO,NA,,,Aviation,Diesel
NA,PA,RFO,NA,,,Aviation,Residual fuel oil blend
NA,PA,OLQ,NA,,,Aviation,
NA,PA,NGS,NA,,,Aviation,Total Natural Gas
NA,PA,OGS,NA,,,Aviation,
NA,PA,NUC,NA,,,Aviation,
NA,PA,STE,NA,,,Aviation,
NA,PA,HYD,NA,,Final Energy|Transportation|Domestic Aviation|Hydrogen,Aviation,
NA,PA,WND,NA,,,Aviation,
NA,PA,SOL,NA,,,Aviation,
NA,PA,BMSWAS,NA,,,Aviation,Total Biomass
NA,PA,GEO,NA,,,Aviation,
NA,PA,MET,NA,,,Aviation,Methane from Biogas
NA,PA,ETH,NA,,,Aviation,Ethanol
NA,PA,BGDO,NA,,,Aviation,Bio Diesel
NA,PA,H2F,NA,,,Aviation,Total Hydrogen
NA,PA,ELC,NA,,Final Energy|Transportation|Domestic Aviation|Electricity,Aviation,Electricity
NA,PA,STE1AL,NA,,,Aviation,
NA,PA,STE1AH,NA,,,Aviation,
NA,PA,STE1AD,NA,,,Aviation,
NA,PA,STE1AR,NA,,,Aviation,
NA,PA,STE1AG,NA,,,Aviation,
NA,PA,STE1AB,NA,,,Aviation,
NA,PA,STE1AH2F,NA,,,Aviation,
NA,PA,STE2LGN,NA,,,Aviation,
NA,PA,STE2OSL,NA,,,Aviation,
NA,PA,STE2GDO,NA,,,Aviation,
NA,PA,STE2RFO,NA,,,Aviation,
NA,PA,STE2OLQ,NA,,,Aviation,
NA,PA,STE2NGS,NA,,,Aviation,
NA,PA,STE2OGS,NA,,,Aviation,
NA,PA,STE2BMS,NA,,,Aviation,
NA,PA,PHEVGSL,NA,,,Aviation,
NA,PA,PHEVGDO,NA,,,Aviation,
NA,PA,CHEVGSL,NA,,,Aviation,
NA,PA,CHEVGDO,NA,,,Aviation,
NA,PA,SLD,NA,,,Aviation,
NA,PA,GAS,NA,,,Aviation,
NA,PA,LQD,NA,,,Aviation,
NA,PA,OLQT,NA,,,Aviation,
NA,PA,NFF,NA,,,Aviation,
NA,PA,NEF,NA,,,Aviation,
NA,PA,HEATPUMP,NA,,,Aviation,
NA,GU,REN,NA,,,Trucks,
NA,GU,HCL,NA,TOTTRANS,,Trucks,
NA,GU,LGN,NA,,,Trucks,
NA,GU,CRO,NA,,Final Energy|Transportation|Truck|Liquids|Fossil,Trucks,Total Oil products
NA,GU,LPG,NA,,,Trucks,Liquefied Petroleum Gas
NA,GU,GSL,NA,,,Trucks,Gasoline blend
Diesel final consumption of road transport (excl biodiesel).Mtoe,GU,GDO,NONBIODIES,TOTTRANS,,Trucks,Diesel
NA,GU,NGS,NATGAS,TOTTRANS,Final Energy|Transportation|Truck|Gases,Trucks,Total Natural Gas
NA,GU,BGDO,BIODIESEL,TOTTRANS,Final Energy|Transportation|Truck|Liquids|Biomass,Trucks,Bio Diesel
NA,GU,ELC,NA,NA,Final Energy|Transportation|Truck|Electricity,Trucks,Electricity
NA,GU,KRS,NA,,,Trucks,Jet Fuel
NA,GU,RFO,NA,,,Trucks,Residual fuel oil blend
NA,GU,OLQ,NA,,,Trucks,
NA,GU,OGS,NA,,,Trucks,
NA,GU,NUC,NA,,,Trucks,
NA,GU,STE,NA,,,Trucks,
NA,GU,HYD,NA,,Final Energy|Transportation|Truck|Hydrogen,Trucks,
NA,GU,WND,NA,,,Trucks,
NA,GU,SOL,NA,,,Trucks,
NA,GU,BMSWAS,NA,,,Trucks,Total Biomass
NA,GU,GEO,NA,,,Trucks,
NA,GU,MET,NA,,,Trucks,Methane from Biogas
NA,GU,ETH,NA,,,Trucks,Ethanol
NA,GU,H2F,NA,,,Trucks,Total Hydrogen
NA,GU,STE1AL,NA,,,Trucks,
NA,GU,STE1AH,NA,,,Trucks,
NA,GU,STE1AD,NA,,,Trucks,
NA,GU,STE1AR,NA,,,Trucks,
NA,GU,STE1AG,NA,,,Trucks,
NA,GU,STE1AB,NA,,,Trucks,
NA,GU,STE1AH2F,NA,,,Trucks,
NA,GU,STE2LGN,NA,,,Trucks,
NA,GU,STE2OSL,NA,,,Trucks,
NA,GU,STE2GDO,NA,,,Trucks,
NA,GU,STE2RFO,NA,,,Trucks,
NA,GU,STE2OLQ,NA,,,Trucks,
NA,GU,STE2NGS,NA,,,Trucks,
NA,GU,STE2OGS,NA,,,Trucks,
NA,GU,STE2BMS,NA,,,Trucks,
NA,GU,PHEVGSL,NA,,,Trucks,
NA,GU,PHEVGDO,NA,,,Trucks,
NA,GU,CHEVGSL,NA,,,Trucks,
NA,GU,CHEVGDO,NA,,,Trucks,
NA,GU,SLD,NA,,,Trucks,
NA,GU,GAS,NA,,,Trucks,
NA,GU,LQD,NA,,Final Energy|Transportation|Truck|Liquids,Trucks,
NA,GU,OLQT,NA,,,Trucks,
NA,GU,NFF,NA,,,Trucks,
NA,GU,NEF,NA,,,Trucks,
NA,GU,HEATPUMP,NA,,,Trucks,
NA,GT,REN,NA,,,Freight trains,
NA,GT,HCL,NA,,,Freight trains,
NA,GT,LGN,NA,,,Freight trains,
NA,GT,CRO,NA,,,Freight trains,Total Oil products
NA,GT,LPG,NA,,,Freight trains,Liquefied Petroleum Gas
NA,GT,GSL,NA,,,Freight trains,Gasoline blend
NA,GT,KRS,NA,,,Freight trains,Jet Fuel
NA,GT,RFO,NA,,,Freight trains,Residual fuel oil blend
NA,GT,OLQ,NA,,,Freight trains,
NA,GT,NGS,NA,,Final Energy|Transportation|Rail|Gases|Fossil,Freight trains,Total Natural Gas
NA,GT,OGS,NA,,,Freight trains,
NA,GT,NUC,NA,,,Freight trains,
NA,GT,STE,NA,,,Freight trains,
NA,GT,HYD,NA,,Final Energy|Transportation|Rail|Hydrogen,Freight trains,
NA,GT,WND,NA,,,Freight trains,
NA,GT,SOL,NA,,,Freight trains,
NA,GT,BMSWAS,NA,,,Freight trains,Total Biomass
NA,GT,GEO,NA,,,Freight trains,
NA,GT,MET,NA,,,Freight trains,Methane from Biogas
NA,GT,ETH,NA,,,Freight trains,Ethanol
NA,GT,BGDO,NA,,,Freight trains,Bio Diesel
NA,GT,H2F,NA,,,Freight trains,Total Hydrogen
Diesel final consumption of rail transport.Mtoe,GT,GDO,NA,NA,,Freight trains,Diesel
Electricity final consumption of rail transport.Mtoe,GT,ELC,NA,NA,Final Energy|Transportation|Rail|Electricity,Freight trains,Electricity
NA,GT,STE1AL,NA,,,Freight trains,
NA,GT,STE1AH,NA,,,Freight trains,
NA,GT,STE1AD,NA,,,Freight trains,
NA,GT,STE1AR,NA,,,Freight trains,
NA,GT,STE1AG,NA,,,Freight trains,
NA,GT,STE1AB,NA,,,Freight trains,
NA,GT,STE1AH2F,NA,,,Freight trains,
NA,GT,STE2LGN,NA,,,Freight trains,
NA,GT,STE2OSL,NA,,,Freight trains,
NA,GT,STE2GDO,NA,,,Freight trains,
NA,GT,STE2RFO,NA,,,Freight trains,
NA,GT,STE2OLQ,NA,,,Freight trains,
NA,GT,STE2NGS,NA,,,Freight trains,
NA,GT,STE2OGS,NA,,,Freight trains,
NA,GT,STE2BMS,NA,,,Freight trains,
NA,GT,PHEVGSL,NA,,,Freight trains,
NA,GT,PHEVGDO,NA,,,Freight trains,
