OPEN-PROM,PRIMES
STE1AL,Industrial boilers lignite
STE1AH,Industrial boilers coal
STE1AD,Industrial boilers fuel oil
STE1AR,Industrial boilers fuel oil
STE1AG,Industrial boilers gas
STE1AB,Industrial boilers biomass
STE1AH2F,Fuel cell gas (large scale)
