"io;""input"";""output"""
"pebioil.seliqbio.biodiesel;""PE|Bio Oil|Liquids"";""SE|Liquids|Bio Oil"""
"pebiolc.seel.biochp;""PE|Biomass|CHP"";""SE|Electricity|Biomass|CHP"""
"pebiolc.seel.bioigcc;""PE|Biomass|Electricity"";""SE|Electricity|Biomass|nonCHP"""
"pebiolc.seel.d_bio2elec;""PE|Biomass|Electricity|Loss"";"
"pebiolc.segabio.biogas;""PE|Biomass|Gases"";""SE|Gases|Biomass"""
"pebiolc.sehe.biochp;;""SE|Heat|Biomass|CHP"""
"pebiolc.sehe.biohp;""PE|Biomass|Heat"";""SE|Heat|Biomass|HP"""
"pebios.seliqbio.bioeths;""PE|Bio Corn|Liquids"";""PE|Liquids|Bio Corn"""
"pebiolc.sesobio.biotr;""PE|Biomass|Solids"";""SE|Solids|Traditional Biomass"""
"pebiolc.sesobio.biotrmod;""PE|Biomass|Solids"";""SE|Solids|Biomass"""
"pecoal.seel.coalchp;""PE|Coal|CHP"";""SE|Electricity|Coal|CHP"""
"pecoal.seel.d_coal2elec;""PE|Coal|Electricity|Loss"";"
"pecoal.seel.pc;""PE|Coal|Electricity"";""SE|Electricity|Coal|nonCHP"""
"pecoal.segafos.coalgas;""PE|Coal|Gases"";""SE|Gases|Fossil|Coal"""
"pecoal.sehe.coalchp;;""SE|Heat|Coal|CHP"""
"pecoal.sehe.coalhp;""PE|Coal|Heat"";""SE|Heat|Coal|HP"""
"pecoal.sesofos.coaltr;""PE|Coal|Solids"";""SE|Solids|Coal"""
"pecoal.sesofos.d_coal2coal;""PE|Coal|Loss"";"
pegas.peog.d_gas2og;;
"pegas.seel.d_gas2elec;""PE|Gas|Electricity|Loss"";"
"pegas.seel.gaschp;""PE|Gas|CHP"";""SE|Electricity|Gas|CHP"""
"pegas.seel.x_gas2elec;""PE|Gas|Electricity"";""SE|Electricity|Gas|nonCHP"""
"pegas.segafos.gastr;""PE|Gas|Gases"";""SE|Gases|Fossil|Natural Gas"""
"pegas.sehe.gaschp;;""SE|Heat|Gas|CHP"""
"pegas.sehe.gashp;""PE|Gas|Heat"";""SE|Heat|Gas|HP"""
"pegas.seliqfos.gasftrec;""PE|Gas|Liquids"";""SE|Liquids|Fossil|Gas"""
"pegeo.seel.geohdr;""PE|Geothermal|Electricity"";""SE|Electricity|Geothermal"""
"pegeo.sehe.geohe;""PE|Geothermal|Heat"";""SE|Heat|Geothermal|HP"""
"pehyd.seel.hydro;""PE|Hydro|Electricity"";""SE|Electricity|Hydro"""
peoil.pecoal.d_oil2coal;;
peoil.peog.d_oil2og;;
"peoil.seel.dot;""PE|Oil|Electricity"";""SE|Electricity|Oil"""
"peoil.seliqfos.refliq;""PE|Oil|Liquids"";""SE|Liquids|Fossil|Oil"""
"pesol.seel.spv;""PE|Solar|Electricity"";""SE|Electricity|Solar"""
"peur.seel.tnrs;""PE|Uranium|Electricity"";""SE|Electricity|Nuclear"""
"pewin.seel.wind;""PE|Wind|Electricity"";""SE|Electricity|Wind"""
seel.feel.d_feel;;
