EFS,
HCL,"Hard Coal, Coke and Other Solids"
LGN,Lignite
CRO,Crude Oil and Feedstocks
LPG,Liquefied Petroleum Gas
GSL,Gasoline
KRS,Kerosene
GDO,Diesel Oil
RFO,Residual Fuel Oil
OLQ,Other Liquids
NGS,Natural Gas
OGS,Other Gases
NUC,Nuclear
STE,Steam
HYD,Hydro
WND,Wind
SOL,Solar
BMSWAS,Biomass and Waste
GEO,Geothermal and other renewable sources
MET,Methanol
ETH,Ethanol
BGDO,Biodiesel
BGSL,Biogasoline
BKRS,Biokerosene
H2F,Hydrogen
ELC,Electricity
