EF,EFA
HCL,SLD
LGN,SLD
LPG,LQD
LPG,OLQT
GSL,LQD
KRS,LQD
KRS,OLQT
GDO,LQD
RFO,LQD
OLQ,LQD
OLQ,OLQT
NGS,GAS
OGS,GAS
NUC,NFF
HYD,NFF
WND,REN
WND,NFF
SOL,REN
SOL,NFF
BMSWAS,NFF
GEO,REN
GEO,NFF
MET,NEF
ETH,NEF
H2F,NEF
STE,STE
