dummy,dummy,2015,2019,2020,2010,2016,2011,2013,2012,2017,2014,2022,2021,2018,2023,2024,2042,2043,2064,2037,2050,2036,2033,2032,2040,2034,2025,2029,2047,2059,2051,2058,2028,2052,2045,2027,2061,2049,2057,2035,2039,2041,2038,2031,2030,2056,2026,2044
AUT,ATHHCL,0.45,0.352,0.246,0.055,0.165,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,ATHHCL,0,0,0,0.457,0.56,0,0.59,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,ATHHCL,0,0,0,0,0.072,0,0,0,0.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGR,ATHHCL,0.84,0,0,0,0,0,0.21,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,ATHHCL,0,0.149,0.38,2.319,0,0.98,3.086,0.23,0,0.382,0.433,3.4764,0.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZE,ATHHCL,0,0.2,1.17,0,0.42,0,0,0.63,0,0,0,0.5465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,ATHHCL,0,1.057,0.263,0.326,0.751,0,0,0.266,0,0.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN,ATHHCL,0,0.138,0.09,0,0,0,0.08,0,0.833,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,ATHHCL,2.058,0,0,0,0,0,1.585,0,0,0.516,0.6,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
