dummy,dummy,2022,2023,2010,2030,2032,2016,2019,2027,2013,2026,2012,2017,2011,2014,2015,2020,2018,2021,2024,2025,2028,2029,2031,2035,2038,2034,2036,2037,2039,2041,2043,2033,2045
ARG,ATHHCL,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,ATHHCL,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,ATHHCL,0.3,0,0,0.3,0.3,0.3,0.45,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,ATHHCL,0,0,0.454,0,0,0,0.345,0.726,1.085,0.6,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGR,ATHHCL,0,0,0,0,0,0,0,0,0,0,0,0.053,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,ATHHCL,0,0,0,0,0,0,0,0,0,0,0,0,0.495,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HRV,ATHHCL,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZE,ATHHCL,0.07,0,1.2,0,0,0.75,0,0,0,0,0,0,0,0.135,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN,ATHHCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,ATHHCL,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEU,ATHHCL,0,0,3.403,0,0,0,1.1,0,3.2,0,6.895,0,1.11,1.71,4.182,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,ATHHCL,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUN,ATHHCL,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
